suite,strategy,name,P,omp,part,nprobe,nlist,rerank_k,pqm,ef,topk,test_number,recall,latency_us,qps,n_runs,best_of
nprobe_pq,7,MPI-IVFPQ-m1,1,4,block,32,256,500,8,64,10,2000,0.931104,621.813,1608.2,5,5
nprobe_pq,7,MPI-IVFPQ-m1,1,4,block,64,256,500,8,64,10,2000,0.935904,849.549,1177.1,5,5
nprobe_pq,9,MPI-IVFPQ-m2,1,4,block,4,256,500,8,64,10,2000,0.794752,354.358,2822.0,5,5
nprobe_pq,9,MPI-IVFPQ-m2,1,4,block,8,256,500,8,64,10,2000,0.886403,518.346,1929.21,5,5
nprobe_pq,9,MPI-IVFPQ-m2,1,4,block,16,256,500,8,64,10,2000,0.937454,792.302,1262.14,5,5
nprobe_pq,9,MPI-IVFPQ-m2,1,4,block,32,256,500,8,64,10,2000,0.960204,1271.65,786.38,5,5
nprobe_pq,9,MPI-IVFPQ-m2,1,4,block,64,256,500,8,64,10,2000,0.967353,2017.26,495.72,5,5
ef,11,MPI-HNSW,1,4,block,16,256,500,8,16,10,2000,0.873454,159.054,6287.17,5,5
ef,11,MPI-HNSW,1,4,block,16,256,500,8,32,10,2000,0.947704,256.835,3893.55,5,5
ef,11,MPI-HNSW,1,4,block,16,256,500,8,64,10,2000,0.981002,426.734,2343.38,5,5
ef,11,MPI-HNSW,1,4,block,16,256,500,8,128,10,2000,0.994901,702.906,1422.67,5,5
ef,11,MPI-HNSW,1,4,block,16,256,500,8,200,10,2000,0.99805,997.056,1002.95,5,5
topk,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,192.935,5183.09,5,5
topk,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,20,2000,0.962853,158.854,6295.11,5,5
topk,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,50,2000,0.962853,173.486,5764.14,5,5
topk,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,210.928,4740.97,5,5
topk,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,20,2000,0.968003,1021.99,978.49,5,5
topk,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,50,2000,0.968003,2186.09,457.44,5,5
